Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Foster,Claire Keegan,"","",paperback,to-read,2025/11/15,"","",0,"",,,,,,,,,"",,"",No
Expectation,Anna Hope,"",9780857524904,hardcover,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
Tea with Elephants,Robin Jones Gunn,"",9780800744823,paperback,to-read,2024/10/11,"","",0,"",,,,,,,,,"",,"",No
Assembly,Natasha Brown,"",9780241515709,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,"",9780374214913,hardcover,read,2022/09/26,2022/09/29,2022/09/25-2022/09/29,1,"",,"","","","","",3.0,"","","","",No
What You Are Looking For is in the Library,Michiko Aoyama,Alison Watts (Translator),9780857529121,hardcover,to-read,2023/10/17,"","",0,"",,,,,,,,,"",,"",No
Red Rising,Pierce Brown,"",9780345539786,hardcover,read,2026/03/07,2026/04/17,2026/03/14-2026/04/17,1,"",,"","","","","",3.0,"","","",book-club-read,No
Stoner,John Williams,John McGahern (Contributor),9781590171998,paperback,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,want-to-buy,No
My Holiday in North Korea: The Funniest/Worst Place on Earth,Wendy E. Simmons,"",9780795347047,paperback,to-read,2024/09/09,"","",0,"",,,,,,,,,"",,"",No
I Know Why the Caged Bird Sings,Maya Angelou,"",9780860685111,paperback,to-read,2023/10/26,"","",0,"",,,,,,,,,"",,"",No
My Brilliant Friend,Elena Ferrante,Ann Goldstein (Translator),9781609450786,paperback,to-read,2026/03/04,"","",0,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,"",9780063021426,hardcover,read,2026/01/06,2026/01/26,2026/01/07-2026/01/26,1,"adventurous, tense",,"","","","","",5.0,"<div>Okay I get that this book has flaws but I loved all the characters truly. I was sooo immersed into this book i felt like I was 12 again reading Harry Potter. It was a really fun read and talks about a lot of things I think about occasionally with a lot of anger like colonialism and how other cultures are misrepresented and even exploited (still) in western countries. Thier culture, language, traditions are 'stolen' but we cannot call it so because language isn't a good that can be traded.&nbsp;<br><br>There's so much more in this book I have thoughts on and like usual I have qualms about how RF Kuang ends her books. Like the third act was not my favorite part while the setup and the characters and the world building I thought were excellent. I did however really like the epilogue and the final word.&nbsp;</div>","","","",No
Divergent,Veronica Roth,"",9780062024039,paperback,read,2026/01/06,"","",1,"",,,,,,,,,"",,"",No
Postmortem,Patricia Cornwell,"",9780743477154,paperback,to-read,2026/01/11,"","",0,"",,,,,,,,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9780316769174,paperback,read,2022/09/20,2021,2021,1,"",,,,,,,,,"",,"",No
This Is How You Remember It,Catherine Prasifka,"",9781837261468,digital,to-read,2026/04/21,"","",0,"",,,,,,,,,"",,"",No
A Suitable Boy,Vikram Seth,"",9780060786526,paperback,read,2025/08/20,"","",1,"",,,,,,,,,"",,"",No
The Idiot,Fyodor Dostoevsky,"Martin Geeson (Translator), Anna Brailovsky (Translator), Constance Garnett (Translator), Eva M. Martin (Translator)",9780679642428,paperback,to-read,2026/01/20,"","",0,"",,,,,,,,,"",,"",No
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529029581,paperback,read,2022/09/19,2022/10/03,2022/09/29-2022/10/03,1,"",,"","","","","",3.25,"","","","",No
White Nights,Fyodor Dostoevsky,Ronald Meyer (Translator),9780241252086,paperback,read,2026/01/16,2026/01/17,2026/01/16-2026/01/17,1,"",,"","","","","",3.75,<div>The writing was really fun and flowy. They were both extreme romantics and overly dramatic but it was fun</div>,"","","",Yes
"Where Are You, Echo Blue?",Hayley Krischer,"Alexa McKenna (Narrator), Helen Laser (Narrator)",B0CMJQJHC3,audio,read,2025/05/13,2025/05/14,2025/05/13-2025/05/14,1,adventurous,medium,Plot,No,No,No,Yes,4.0,<div>Echo was a more interesting character than Goldie for me and I liked all the parts where she was telling her story. Goldie is low-key crazy and seeing into her mind was fun lol.</div>,"","","",No
Long Distance,Ayşegül Savaş,"",9781639733101,hardcover,to-read,2026/01/07,"","",0,"",,,,,,,,,"",,"",No
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,"",9781984820365,hardcover,to-read,2026/02/20,"","",0,"",,,,,,,,,"",,"",No
Maame,Jessica George,"",9781250282521,hardcover,to-read,2024/03/28,"","",0,"",,,,,,,,,"",,"",No
Evenings & Weekends,Oisín McKenna,"",9780063319974,hardcover,to-read,2025/01/07,"","",0,"",,,,,,,,,"",,"",No
Happy All the Time,Laurie Colwin,"",9780060955328,paperback,to-read,2025/01/11,"","",0,"",,,,,,,,,"",,"",No
Everyone in My Family Has Killed Someone,Benjamin Stevenson,Barton Welch (Narrator),9780063279056,audio,read,2024/11/11,2024/12/06,2024/11/11-2024/12/06,1,"",,"","","","","",3.75,"","","","",No
Favorite Daughter: A Novel,Morgan Dick,"","",hardcover,to-read,2025/08/08,"","",0,"",,,,,,,,,"",,"",No
Ella Minnow Pea,Mark Dunn,"",9780385722438,paperback,to-read,2025/05/21,"","",0,"",,,,,,,,,"",,"",No
The Song of Achilles,Madeline Miller,"",9781408816035,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Yellowface,R.F. Kuang,"",9780008532772,hardcover,read,2023/08/12,2024/09/01,2024/08/30-2024/09/01,1,"informative, mysterious",fast,A mix,No,"","","",4.25,"","","","",No
To the Moon and Back,Eliana Ramage,"",9781668065853,hardcover,to-read,2026/02/03,"","",0,"",,,,,,,,,"",,"",No
The Sentence is Death,Anthony Horowitz,"",1780897081,paperback,to-read,2026/01/07,"","",0,"",,,,,,,,,"",,"",No
The God of the Woods,Liz Moore,"",9780593418932,digital,read,2026/01/06,2026/03/11,2026/03/02-2026/03/11,1,"",,"","","","","",4.0,"<div>Really well written atmospheric thriller, I appreciated that it didn't do any cheap tricks and insane reveals (there were some but those just felt at par with the rest of the story) and was still a really interesting read.<br><br>I don't think I've read a book with this many povs in that many timelines before and at first I was getting a bit confused. Overall I liked that everytime I sat down to read this I was both taken right into the Adirondack landscape and also dying to know what happened next.</div>","","","",No
I'm a Fan,Sheena Patel,"",9781914236150,hardcover,read,2024/01/02,"","",1,"",,,,,,,,,"",,"",No
A Short Stay in Hell,Steven L. Peck,"",9780983748427,paperback,to-read,2025/10/13,"","",0,"",,,,,,,,,"",,"",No
The City and Its Uncertain Walls,Haruki Murakami,Philip Gabriel (Translator),9781787304475,hardcover,to-read,2024/08/16,"","",0,"",,,,,,,,,"",,"",No
The Left Hand of Darkness,Ursula K. Le Guin,"",9780441007318,paperback,to-read,2026/02/20,"","",0,"",,,,,,,,,"",,"",No
The Other Valley,Scott Alexander Howard,"",9781668015476,hardcover,to-read,2026/02/23,"","",0,"",,,,,,,,,"",,"",No
The Valley of Amazement,Amy Tan,"",9780062107312,hardcover,to-read,2024/10/07,"","",0,"",,,,,,,,,"",,"",Yes
Seattle Walks: Discovering History and Nature in the City,David B. Williams,"",,,to-read,2025/07/11,"","",0,"",,,,,,,,,"",,"",No
The Fall,Albert Camus,Justin O'Brien (Translator),9780679720225,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
